title,description,category,priority,days_until_due,due_date
Increase test coverage on search service,"The reporting flow has no automated tests, causing repeat regressions. Needed before end of sprint, please prioritize.",Testing,HIGH,4,2026-08-17
Build new backend API onboarding flow,New requirement from sales: checkout flow needs OAuth token capability. This is a P0 blocker for the launch tomorrow.,Feature Development,URGENT,-2,2026-08-11
Design icon set for search service,"Current authentication UI feels dated, redesign requested by stakeholders.",Design,MEDIUM,7,2026-08-20
Investigate reporting performance issue in billing module,Unclear why reporting engine is slow under authentication; needs investigation. Important for the client demo next week.,Research,HIGH,3,2026-08-16
Refactor legacy admin dashboard code,"Tech debt in search service is slowing down feature work, needs refactor. No rush, whenever you get a chance.",Maintenance,LOW,56,2026-10-08
Provision new session environment,"payments service deploys are manual and error-prone; automate with CI/CD. No rush, whenever you get a chance.",DevOps/Infrastructure,LOW,29,2026-09-11
Add reporting filtering to React frontend dashboard,"New requirement from sales: notification service needs upload capability. No rush, whenever you get a chance.",Feature Development,LOW,14,2026-08-27
Fix broken OAuth token button on checkout flow page,Users report search fails intermittently after the latest deploy to checkout flow.,Bug Fix,MEDIUM,10,2026-08-23
Set up CI/CD pipeline for React frontend,"payments service deploys are manual and error-prone; automate with CI/CD. Needed before end of sprint, please prioritize.",DevOps/Infrastructure,HIGH,1,2026-08-14
Write API docs for React frontend endpoints,New engineers need clearer docs on how auth service works. This is high priority for the upcoming release.,Documentation,HIGH,1,2026-08-14
Investigate export performance issue in billing module,"Team needs a recommendation on billing approach for notification service. Someday/maybe, not time sensitive.",Research,LOW,52,2026-10-04
Create onboarding guide for reporting engine,"API consumers are confused about backend API usage, needs docs.",Documentation,MEDIUM,11,2026-08-24
Resolve login failure for search users,Regression introduced by last sprint's changes to billing module; needs a hotfix.,Bug Fix,MEDIUM,6,2026-08-19
Implement dark mode for React frontend,"New requirement from sales: mobile app needs search capability. Nice to have, low priority.",Feature Development,LOW,24,2026-09-06
Investigate upload performance issue in user service,Explore whether export is viable for the admin dashboard rewrite. Important for the client demo next week.,Research,HIGH,3,2026-08-16
Add regression tests for auth service,"QA wants automated E2E coverage for user profile before launch. No rush, whenever you get a chance.",Testing,LOW,17,2026-08-30
Create reporting integration with reporting engine,"Product wants upload support added to the user service module this quarter. Customer-facing outage, top priority.",Feature Development,URGENT,-2,2026-08-11
Build new mobile app onboarding flow,Product wants upload support added to the admin dashboard module this quarter. Can be picked up next quarter.,Feature Development,LOW,42,2026-09-24
Set up monitoring for search service service,"Need to migrate search service off legacy infrastructure this quarter. Needed before end of sprint, please prioritize.",DevOps/Infrastructure,HIGH,2,2026-08-15
Add regression tests for backend API,QA wants automated E2E coverage for reporting before launch.,Testing,MEDIUM,10,2026-08-23
Set up monitoring for search service service,"Need to migrate payments service off legacy infrastructure this quarter. Someday/maybe, not time sensitive.",DevOps/Infrastructure,LOW,40,2026-09-22
Patch memory leak in mobile app service,QA found this reproducible on auth service under OAuth token load. Important for the client demo next week.,Bug Fix,HIGH,1,2026-08-14
Evaluate search libraries for checkout flow,"Team needs a recommendation on payment approach for React frontend. Customer-facing outage, top priority.",Research,URGENT,-1,2026-08-12
Redesign backend API settings page,"Current authentication UI feels dated, redesign requested by stakeholders. Needed before end of sprint, please prioritize.",Design,HIGH,3,2026-08-16
Add integration tests for billing flow,QA wants automated E2E coverage for billing before launch.,Testing,MEDIUM,5,2026-08-18
Schedule sprint planning for React frontend,Need to align stakeholders on reporting engine before next sprint.,Meeting/Admin,MEDIUM,7,2026-08-20
Update README for search service service,"New engineers need clearer docs on how search service works. Urgent request from the CEO, needs to ship today.",Documentation,URGENT,-1,2026-08-12
Configure autoscaling for checkout flow,Need to migrate React frontend off legacy infrastructure this quarter.,DevOps/Infrastructure,MEDIUM,11,2026-08-24
Redesign mobile app settings page,Create a design spec for the new payments service experience.,Design,MEDIUM,10,2026-08-23
Implement billing export for mobile app,"Customer requested payment functionality for notification service. Nice to have, low priority.",Feature Development,LOW,34,2026-09-16
Coordinate chat kickoff meeting,Book time with mobile app team to discuss SSO plan.,Meeting/Admin,MEDIUM,5,2026-08-18
Provision new session environment,Ops wants alerting configured for checkout flow before it handles more traffic. This is high priority for the upcoming release.,DevOps/Infrastructure,HIGH,4,2026-08-17
Fix exposed session endpoint in backend API,Pen test found an exposed chat in the React frontend API.,Security,MEDIUM,5,2026-08-18
Audit billing module for security issues,Pen test found an exposed billing in the checkout flow API. Can be picked up next quarter.,Security,LOW,18,2026-08-31
Set up retro for notification service team,Prepare status update for analytics to share with leadership.,Meeting/Admin,MEDIUM,3,2026-08-16
Prepare slides for auth service review,"Need to align stakeholders on mobile app before next sprint. Someday/maybe, not time sensitive.",Meeting/Admin,LOW,49,2026-10-01
Document reporting setup process,"The upload process isn't documented anywhere; write a guide. Needed before end of sprint, please prioritize.",Documentation,HIGH,2,2026-08-15
Patch user profile vulnerability in reporting engine,Security scan flagged a analytics vulnerability in notification service.,Security,MEDIUM,11,2026-08-24
Create wireframes for SSO flow,"Current analytics UI feels dated, redesign requested by stakeholders. This is high priority for the upcoming release.",Design,HIGH,2,2026-08-15
Design UI mockups for auth service,"Create a design spec for the new user service experience. Customer-facing outage, top priority.",Design,URGENT,-1,2026-08-12
Set up retro for payments service team,"Book time with mobile app team to discuss billing plan. Urgent request from the CEO, needs to ship today.",Meeting/Admin,URGENT,1,2026-08-14
Create wireframes for analytics flow,"Current user profile UI feels dated, redesign requested by stakeholders.",Design,MEDIUM,8,2026-08-21
Resolve login failure for mobile users,"QA found this reproducible on payments service under reporting load. Needed before end of sprint, please prioritize.",Bug Fix,HIGH,4,2026-08-17
Upgrade user service dependencies,"Remove dead reporting code left over from the old user service implementation. Needed before end of sprint, please prioritize.",Maintenance,HIGH,1,2026-08-14
Redesign checkout flow settings page,"Need updated mockups for billing module before dev starts. Critical: production is down, all hands on this now.",Design,URGENT,1,2026-08-14
Implement search export for payments service,"Product wants chat support added to the payments service module this quarter. Nice to have, low priority.",Feature Development,LOW,19,2026-09-01
Configure autoscaling for React frontend,Need to migrate React frontend off legacy infrastructure this quarter.,DevOps/Infrastructure,MEDIUM,11,2026-08-24
Resolve data corruption in user service,"Stack trace shows a chat exception thrown from the React frontend handler. Someday/maybe, not time sensitive.",Bug Fix,LOW,24,2026-09-06
Build new notification service onboarding flow,Product wants export support added to the auth service module this quarter.,Feature Development,MEDIUM,3,2026-08-16
Write E2E tests for mobile checkout,"Coverage on notification service is below target; add tests before release. Nice to have, low priority.",Testing,LOW,46,2026-09-28
